tag,name,reference,material,span_m,section_depth_mm,section_width_mm,section_depth_m,section_width_m,bbox_length_m,bbox_width_m,bbox_height_m,volume_m3,density_kg_m3,weight_kg,weight_t,x_m,y_m,z_m,global_id
3072726,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072726,TRG_STA_SVT_1100 x 250,Metall - Baustahl S235,27.5,1100.0,250.0,1.1,0.25,0.25,27.5,1.1,0.857,7850.0,6725.1,6.73,68.23,9.551,12.33,11Je14my97hBHYwYXU$RZN
3072727,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072727,TRG_STA_SVT_1100 x 250,Metall - Baustahl S235,27.5,1100.0,250.0,1.1,0.25,0.25,27.5,1.1,0.857,7850.0,6725.1,6.73,67.13,9.551,12.33,11Je14my97hBHYwYXU$RZM
3072730,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072730,TRG_STA_SVT_1100 x 250,Metall - Baustahl S235,27.5,1100.0,250.0,1.1,0.25,0.25,27.5,1.1,0.857,7850.0,6725.1,6.73,52.93,9.551,12.33,11Je14my97hBHYwYXU$RZR
3072731,Schweißverbundträger:TRG_STA_SVT_1100 x 250:3072731,TRG_STA_SVT_1100 x 250,Metall - Baustahl S235,27.5,1100.0,250.0,1.1,0.25,0.25,27.5,1.1,0.857,7850.0,6725.1,6.73,51.83,9.551,12.33,11Je14my97hBHYwYXU$RZQ
3072724,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072724,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,78.13,9.551,12.33,11Je14my97hBHYwYXU$RZL
3072725,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072725,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,73.18,9.551,12.33,11Je14my97hBHYwYXU$RZK
3072728,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072728,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,62.395,9.551,12.33,11Je14my97hBHYwYXU$RZP
3072729,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072729,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,57.665,9.551,12.33,11Je14my97hBHYwYXU$RZO
3072732,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072732,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,46.88,9.551,12.33,11Je14my97hBHYwYXU$RZT
3072733,Schweißverbundträger:TRG_STA_SVT_1100 x 400:3072733,TRG_STA_SVT_1100 x 400,Metall - Baustahl S235,27.5,1100.0,400.0,1.1,0.4,0.4,27.5,1.1,1.456,7850.0,11431.2,11.43,41.93,9.551,12.33,11Je14my97hBHYwYXU$RZS
3072714,Schweißverbundträger:TRG_STA_SVT_1250 x 350:3072714,TRG_STA_SVT_1250 x 350,Metall - Baustahl S235,27.505,1250.0,350.0,1.25,0.35,0.35,27.505,1.25,1.429,7850.0,11217.4,11.22,68.23,9.554,3.725,11Je14my97hBHYwYXU$RZB
3072715,Schweißverbundträger:TRG_STA_SVT_1250 x 350:3072715,TRG_STA_SVT_1250 x 350,Metall - Baustahl S235,27.505,1250.0,350.0,1.25,0.35,0.35,27.505,1.25,1.429,7850.0,11217.4,11.22,67.13,9.554,3.725,11Je14my97hBHYwYXU$RZA
3072719,Schweißverbundträger:TRG_STA_SVT_1250 x 350:3072719,TRG_STA_SVT_1250 x 350,Metall - Baustahl S235,27.505,1250.0,350.0,1.25,0.35,0.35,27.505,1.25,1.429,7850.0,11217.4,11.22,52.93,9.554,3.725,11Je14my97hBHYwYXU$RZE
3072720,Schweißverbundträger:TRG_STA_SVT_1250 x 350:3072720,TRG_STA_SVT_1250 x 350,Metall - Baustahl S235,27.505,1250.0,350.0,1.25,0.35,0.35,27.505,1.25,1.429,7850.0,11217.4,11.22,51.83,9.554,3.725,11Je14my97hBHYwYXU$RZH
3072711,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072711,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.5,13.81,79.351,9.555,3.725,11Je14my97hBHYwYXU$RZ6
3072712,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072712,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,75.613,9.554,3.725,11Je14my97hBHYwYXU$RZ9
3072713,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072713,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,71.873,9.554,3.725,11Je14my97hBHYwYXU$RZ8
3072716,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072716,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,63.543,9.554,3.725,11Je14my97hBHYwYXU$RZD
3072717,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072717,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,59.943,9.554,3.725,11Je14my97hBHYwYXU$RZC
3072718,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072718,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,56.343,9.554,3.725,11Je14my97hBHYwYXU$RZF
3072721,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072721,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,48.038,9.554,3.725,11Je14my97hBHYwYXU$RZG
3072722,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072722,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,44.298,9.554,3.725,11Je14my97hBHYwYXU$RZJ
3072723,Schweißverbundträger:TRG_STA_SVT_1250 x 500:3072723,TRG_STA_SVT_1250 x 500,Metall - Baustahl S235,27.505,1250.0,500.0,1.25,0.5,0.5,27.505,1.25,1.759,7850.0,13808.4,13.81,40.558,9.554,3.725,11Je14my97hBHYwYXU$RZI
